version,name,part,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
swapall,forest,swap,0.06,69.66,0.45,176.64,1.21,0.14,0.04,2.54,3.67,1.03,19132,3206324
swapall,forest,swap,0.06,57.02,0.48,184.68,4.02,0.54,0.01,3.24,3.67,1.00,19132,3664711
swapall,forest,swap,0.06,55.41,0.44,184.24,3.68,0.54,0.01,3.33,3.67,1.00,19132,3664762
swapall,forest,swap,0.06,55.54,0.49,185.15,3.75,0.53,0.01,3.33,3.67,1.00,19132,3664521
swapall,forest,swap,0.06,56.85,0.36,185.48,4.02,0.54,0.01,3.26,3.67,1.01,19132,3664339
swapall,forest,swap,0.06,55.23,0.38,185.56,3.85,0.53,0.01,3.36,3.67,1.00,19132,3663949
swapall,forest,swap,0.06,55.82,0.33,185.06,3.83,0.54,0.01,3.32,3.67,1.01,19132,3664113
swapall,forest,swap,0.06,55.75,0.30,184.49,3.74,0.54,0.01,3.31,3.67,1.00,19132,3664389
swapall,forest,swap,0.06,55.77,0.41,185.34,3.78,0.54,0.01,3.32,3.67,1.01,19132,3664604
swapall,forest,swap,0.06,55.55,0.34,184.00,3.65,0.53,0.01,3.31,3.67,1.00,19132,3664423
swapall,forest,swap,0.06,56.16,0.31,185.19,3.92,0.54,0.01,3.30,3.67,1.00,19132,3664519
swapall,forest,swap,0.06,57.60,0.36,182.80,4.01,0.52,0.01,3.17,3.67,1.00,19132,3664121
swapall,forest,swap,0.06,55.96,0.33,185.06,3.85,0.54,0.01,3.31,3.67,1.00,19132,3664358
swapall,forest,swap,0.06,55.51,0.36,185.07,3.80,0.53,0.01,3.33,3.67,1.00,19132,3664601
swapall,forest,swap,0.06,56.54,0.32,185.71,3.97,0.55,0.01,3.28,3.67,1.00,19132,3664516
swapall,forest,swap,0.06,55.97,0.32,185.23,3.88,0.54,0.01,3.31,3.67,1.00,19132,3664482
swapall,forest,swap,0.06,56.02,0.32,185.21,3.89,0.54,0.01,3.31,3.67,1.00,19132,3664324
swapall,forest,swap,0.06,55.66,0.32,184.16,3.75,0.54,0.01,3.31,3.67,1.00,19132,3664394
swapall,forest,swap,0.06,55.99,0.33,185.10,3.90,0.54,0.01,3.31,3.67,1.00,19132,3664376
swapall,forest,swap,0.06,55.29,0.36,185.09,3.81,0.53,0.01,3.35,3.67,1.00,19132,3664440
swapall,forest,swap,0.06,55.68,0.33,185.06,3.80,0.53,0.01,3.32,3.67,1.00,19132,3664349
swapall,forest,swap,0.06,56.05,0.35,185.34,3.87,0.55,0.01,3.31,3.67,1.00,19132,3664273
swapall,forest,swap,0.06,55.85,0.33,185.02,3.85,0.53,0.01,3.31,3.67,1.00,19132,3664411
swapall,forest,swap,0.06,55.37,0.35,185.47,3.89,0.53,0.01,3.35,3.67,1.00,19132,3664283
swapall,forest,swap,0.06,55.91,0.33,185.11,3.87,0.53,0.01,3.31,3.67,1.00,19132,3664443
swapall,forest,swap,0.06,55.31,0.35,185.66,3.86,0.52,0.01,3.36,3.67,1.00,19132,3664416
swapall,forest,swap,0.06,56.39,0.33,185.38,3.96,0.54,0.01,3.29,3.67,1.00,19132,3664185
swapall,forest,swap,0.06,55.86,0.34,185.14,3.86,0.54,0.01,3.31,3.67,1.00,19132,3664437
swapall,forest,swap,0.06,57.65,0.37,184.84,4.15,0.54,0.00,3.21,3.67,1.00,19132,3664364
swapall,forest,swap,0.06,56.06,0.32,184.98,3.82,0.53,0.01,3.30,3.67,1.00,19132,3664293
swapall,forest,swap,0.07,66.94,0.38,176.27,1.25,0.15,0.03,2.63,3.67,1.00,19132,3664527
swapall,forest,swap,0.05,52.43,0.36,172.80,3.53,0.47,0.01,3.30,3.67,1.00,19132,3664227
swapall,forest,swap,0.05,52.65,0.32,172.61,3.52,0.52,0.01,3.28,3.67,1.00,19132,3664479
swapall,forest,swap,0.05,52.66,0.35,172.86,3.54,0.48,0.01,3.28,3.67,1.00,19132,3664668
swapall,forest,swap,0.05,52.42,0.32,172.40,3.49,0.51,0.01,3.29,3.67,1.00,19132,3664271
swapall,forest,swap,0.05,52.76,0.34,172.15,3.48,0.52,0.01,3.26,3.67,1.00,19132,3664470
swapall,forest,swap,0.05,52.67,0.32,172.44,3.49,0.51,0.01,3.27,3.67,1.00,19132,3664334
swapall,forest,swap,0.05,52.66,0.33,172.76,3.55,0.47,0.01,3.28,3.67,1.00,19132,3664327
